,eng,part,mean
5298,cured,verb,To restore to health.
5299,cures,noun,"A method, device or medication that restores good health."
5300,curfew,noun,Any regulation requiring people to be off the streets and in their homes by a certain time.
5301,curfews,noun,Any regulation requiring people to be off the streets and in their homes by a certain time.
5302,curie,noun,"3.7×1010 decays per second, as a unit of radioactivity. Symbol Ci."
5303,curing,verb,To restore to health.
5304,curiosity,noun,"(uncountable) Inquisitiveness; the tendency to ask and learn about things by asking questions, investigating, or exploring."
5305,curious,adjective,"Tending to ask questions, or to want to explore or investigate; inquisitive; (with a negative connotation) nosy, prying."
5306,curiously,adverb,In a curious manner; with curiosity; inquisitively.
5307,curl,noun,A piece or lock of curling hair; a ringlet.
5308,curled,verb,To cause to move in a curve.
5309,curlers,noun,One of a set of small cylindrical tubes used to curl hair.
5310,curling,verb,To cause to move in a curve.
5311,curly,noun,A person or animal with curly hair.
5312,curmudgeon,noun,A miser.
5313,currency,noun,Money or other items used to facilitate transactions.
5314,current,noun,The generally unidirectional movement of a gas or fluid.
5315,currently,adverb,"At this moment, at present, now."
5316,currents,noun,The generally unidirectional movement of a gas or fluid.
5317,curriculum,noun,"The set of courses, coursework, and their content, offered at a school or university."
5318,curry,noun,"One of a family of dishes originating from South Asian cuisine, flavoured by a spiced sauce."
5319,curse,noun,A supernatural detriment or hindrance; a bane.
5320,cursed,verb,To place a curse upon (a person or object).
5321,curses,noun,A supernatural detriment or hindrance; a bane.
5322,cursing,verb,To place a curse upon (a person or object).
5323,cursive,noun,"A cursive character, letter or font."
5324,cursory,adjective,Hasty; superficial; careless
5325,curt,verb,"To cut, cut short, shorten."
5326,curtain,noun,"A piece of cloth covering a window, bed, etc. to offer privacy and keep out light."
5327,curtains,noun,"A piece of cloth covering a window, bed, etc. to offer privacy and keep out light."
5328,curtsy,noun,"A small bow, generally performed by a woman or a girl, where she crosses one calf of her leg behind the other and briefly bends her knees and lowers her body in deference."
5329,curvaceous,adjective,(of a woman) Having shapely and voluptuous curves; curvy.
5330,curve,noun,"A gentle bend, such as in a road."
5331,curveball,noun,"A forespin pitch thrown by rotating the index and middle fingers down and resulting in motion down ""curve"""
5332,curves,noun,"A gentle bend, such as in a road."
5333,cushion,noun,"A soft mass of material stuffed into a cloth bag, used for comfort or support; for sitting on, kneeling on, resting one's head on etc."
5334,cushions,noun,"A soft mass of material stuffed into a cloth bag, used for comfort or support; for sitting on, kneeling on, resting one's head on etc."
5335,cushy,adjective,"Easy, making few demands, comfortable."
5336,cusp,noun,A sharp point or pointed end.
5337,cuss,noun,A curse.
5338,cussing,verb,"To use cursing, to use bad language, to speak profanely."
5339,custard,noun,"A type of sauce made from milk and eggs (and usually sugar, and sometimes vanilla or other flavourings) and thickened by heat, served hot poured over desserts, as a filling for some pies and cakes, or cold and solidified; also used as a base for some savoury dishes, such as quiches, or eaten as a stand-alone dessert."
5340,custodial,adjective,"Providing protection, care, supervision or guarding"
5341,custodian,noun,A person entrusted with the custody or care of something or someone; a caretaker or keeper.
5342,custody,noun,"The legal right to take care of something or somebody, especially children."
5343,custom,noun,"Frequent repetition of the same behavior; way of behavior common to many; ordinary manner; habitual practice; method of doing, living or behaving."
5344,customarily,adverb,(manner) In the customary manner; as is custom
5345,customary,noun,"A book containing laws and usages, or customs; a custumal."
5346,customer,noun,"A patron, a client; one who purchases or receives a product or service from a business or merchant, or intends to do so."
5347,customers,noun,"A patron, a client; one who purchases or receives a product or service from a business or merchant, or intends to do so."
5348,customs,noun,(in the plural) The duties or taxes imposed on imported or exported goods.
5349,cut,noun,The act of cutting.
5350,cutaway,noun,A cut to a shot of person listening to a speaker so that the audience can see the listener's reaction.
5351,cutbacks,noun,A reduction of some sort in an existing program.
5352,cute,adjective,"Possessing physical features, behaviors, personality traits or other properties that are mainly attributed to infants and small or cuddly animals; e.g. fair, dainty, round, and soft physical features, disproportionately large eyes and head, playfulness, fragility, helplessness, curiosity or shyness, innocence, affectionate behavior."
5353,cuteness,noun,The state of being cute (endearingly attractive).
5354,cuter,adjective,"Possessing physical features, behaviors, personality traits or other properties that are mainly attributed to infants and small or cuddly animals; e.g. fair, dainty, round, and soft physical features, disproportionately large eyes and head, playfulness, fragility, helplessness, curiosity or shyness, innocence, affectionate behavior."
5355,cutest,adjective,"Possessing physical features, behaviors, personality traits or other properties that are mainly attributed to infants and small or cuddly animals; e.g. fair, dainty, round, and soft physical features, disproportionately large eyes and head, playfulness, fragility, helplessness, curiosity or shyness, innocence, affectionate behavior."
5356,cutesy,adjective,"Overly, affectedly or unnecessarily cute; too cute to be taken seriously."
5357,cuticle,noun,The outermost layer of the skin of vertebrates; the epidermis.
5358,cuticles,noun,The outermost layer of the skin of vertebrates; the epidermis.
5359,cutie,noun,A cute person or animal.
5360,cutlass,noun,"A short sword with a curved blade, and a convex edge; once used by sailors when boarding an enemy ship."
5361,cutler,noun,One whose business is making or dealing in cutlery.
5362,cutlery,noun,"A collective ensemble of eating and serving utensils such as knives, forks and spoons."
5363,cutoff,noun,The point at which something terminates or to which it is limited.
5364,cutoffs,noun,The point at which something terminates or to which it is limited.
5365,cutout,noun,A hole or space produced when something is removed by cutting.
5366,cuts,noun,The act of cutting.
5367,cutter,noun,A person or device that cuts (in various senses).
5368,cutters,noun,A person or device that cuts (in various senses).
5369,cutthroat,noun,A murderer who slits the throats of victims.
5370,cutting,verb,"(heading) To incise, to cut into the surface of something."
5371,cyanide,noun,Any compound containing the -C≡N radical or the C≡N-1 anion.
5372,cyberspace,noun,A world of information accessed through the Internet.
5373,cyborg,noun,"A person who is part machine, a robot who is part organic."
5374,cycle,noun,An interval of space or time in which one set of events or phenomena is completed.
5375,cycles,noun,An interval of space or time in which one set of events or phenomena is completed.
5376,cyclone,noun,(broad sense) A weather phenomenon consisting of a system of winds rotating around a center of low atmospheric pressure
5377,cyclops,noun,A one-eyed giant from Greek and Roman mythology.
5378,cyclotron,noun,An early particle accelerator in which charged particles were generated at a central source and accelerated spirally outward through a fixed magnetic field and alternating electric fields.
5379,cylinder,noun,A surface created by projecting a closed two-dimensional curve along an axis intersecting the plane of the curve.
5380,cylinders,noun,A surface created by projecting a closed two-dimensional curve along an axis intersecting the plane of the curve.
5381,cymbal,noun,"A concave plate of brass or bronze that produces a sharp, ringing sound when struck: played either in pairs, by striking them together, or singly by striking with a drumstick or the like."
5382,cynic,noun,A person who believes that all people are motivated by selfishness.
5383,cynical,adjective,Of or relating to the belief that human actions are motivated only or primarily by base desires or selfishness.
